"96";"En seng, et bord, en vannkran og noen bøker &#8230;";"H";"H,97";"Ei seng, eit bord, ein vannkran og nokre bøker.";"1";"10"
"97";"Det var alt jeg hadde i det svarte rommet.";"R";"H,107,131";"Det var alt eg hadde i det svarte rommet.";"2";"10"
"98";"Ingen vinduer, ingen dører &#8230;";"H";"H,99,131";"Ingen vindauge, ingen dører &#8230;";"3";"10"
"99";"Bare lukten av frihet som skjulte seg bak det rustne stakitt.";"R";"H,131";"Berre angen av fridom som skjulte seg bak det rusta stakittet.";"4";"10"
"100";"Dagslys var en fremmed.";"H";"H,101";"Dagsljos var ein framand.";"5";"10"
"101";"Mennesker likeså.";"R";"H,102";"Menneske like eins.";"6";"10"
"102";"Virkelige mennesker, altså.";"R";"H,103,128";"Verkelege menneske, altså.";"7";"10"
"103";"Som ikke svek.";"R";"H,106";"Som ikkje sveik.";"8";"10"
"104";"De eneste vennene jeg hadde,";"H";"6,31,50,52,54,56,96,105";"Dei einaste venene eg hadde,";"9";"10"
"105";"Var min tjukke papirblokk og min trofaste Parker.";"R";"H,103,106";"Var den tjukke papirblokka mi og mi trufaste Parker.";"10";"10"
"106";"De gjorde alltid det jeg sa.";"R";"H,107";"Dei gjorde alltid det eg sagde.";"11";"10"
"107";"I hele 17 år og 15 døgn.";"R";"H,108";"I heile 17 år og 15 døger.";"12";"10"
"108";"Så lenge har jeg vært her.";"R";;"Så lenge har eg vore her.";"13";"10"
"109";"Hele livet &#8230; 17 år og 15 døgn.";"R";"H,108";"Heile livet &#8230; 17 år og 15 døger.";"14";"10"
"110";"En dag vet jeg,";"H";"2,111";"Ein dag veit eg,";"15";"10"
"111";"At min sjel vil knuse denne paradoksale trygghet.";"R";"H,112";"At sjela mi vil knusa denne paradoksale tryggleiken.";"16";"10"
"112";"Men til da vil jeg være som jeg alltid har vært &#8230;";"M";;"Men til då vil eg vera som eg alltid har vore &#8230;";"17";"10"
"113";"Alene &#8230;";"H";;"Åleine &#8230;";"18";"10"
"114";"I det svarte rommet.";"H";;"I det svarte rommet.";"19";"10"
"115";"Jeg er ikke redd for at de dreper deg &#8230;";"H";"H,115";"Eg er ikkje redd for at dei drep deg &#8230;";"1";"11"
"116";"Jeg er redd for at jeg ikke kommer til å gråte når de gjør det.";"R";;"Eg er redd for at eg ikkje kjem til å gråta når dei gjer det.";"2";"11"
"117";"Et menneske uten frykt &#8230;";"H";"H,118";"Eit menneske utan frykt &#8230;";"1";"12"
"118";"&#8230; er et menneske uten håp &#8230;";"R";;"&#8230; er eit menneske utan von &#8230;";"2";"12"
"119";"Hvis jeg åpner hjertet mitt for deg &#8230;";"H";"120,121";"Viss eg opnar hjartet mitt for deg &#8230;";"1";"13"
"120";"&#8230; og du ser et lite glimt av lys &#8230;";"R";"121";"&#8230; og du ser eit lite glimt av ljos &#8230;";"2";"13"
"121";"&#8230; <em>vær så snill å ikke snu hodet</em> &#8230;";"H";;"&#8230; <em>ver så snill å ikkje snu hovudet</em> &#8230;";"3";"13"
"122";"Tar små steg.";"R";"H,28,123,124";"Tek små steg.";"1";"14"
"123";"Mot et nytt liv.";"R";"H,103,124";"Mot eit nytt liv.";"2";"14"
"124";"Usikre er de. Men ikke på seg selv &#8230;";"R";"H,125";"Dei er usikre. Men ikkje på seg sjølv &#8230;";"3";"14"
"125";"De er usikre på deres eksistens i framtiden &#8230;";"R";"H,126";"Dei er usikre på eksistensen deira i framtida &#8230;";"4";"14"
"126";"Om de vil gidde å fortsette &#8230;";"R";;"Om dei vil idast halda fram &#8230;";"5";"14"
"127";"Venter på noen &#8230;";"R";"H,128,129";"Ventar på nokon &#8230;";"6";"14"
"128";"Noen til å hjelpe meg.";"R";"H,129";"&#8230; Nokon til å hjelpa meg.";"7";"14"
"129";"Noen til å drepe den jeg har blitt &#8230;";"R";;"Nokon til å drepa den eg har vorte &#8230;";"8";"14"
"130";"Levde på en løgn &#8230;";"R";"H,131";"Levde på ei lygn &#8230;";"9";"14"
"131";"Få meg tilbake i virkeligheten &#8230;";"H";;"Få meg attende i røyndomen &#8230;";"10";"14"
"132";"She laughs, he cries &#8230;";"H";"133";;"1";"15"
"133";"To what&#8217;s within.";"R";"134,135";;"2";"15"
"134";"Certainly not sunshine.";"R";"135";;"3";"15"
"135";"Lots of black clouds.";"H";;;"4";"15"
"136";"Mørke stier å gå &#8230;";"H";;"Mørke stigar å gå &#8230;";"1";"16"
"137";"Tomme ord, døde blikk.";"H";"H,138,139";"Tomme ord, daude blikk.";"2";"16"
"138";"Tårene renner nå innover i stedet for utover.";"R";"H,139";"Tårene renn no innover i staden for utover.";"3";"16"
"139";"Alle er like lei &#8230;";"R";;"Alle er like lei &#8230;";"4";"16"
"140";"Elva renner fremdeles.";"H";;"Elva renn framleis.";"5";"16"
"141";"Jorda prøver fortsatt å bli svimmel.";"H";;"Jorda freistar framleis å verta svimmel.";"6";"16"
"142";"Og blodet renner, som vanlig.";"R";;"Og blodet renn, som vanleg.";"7";"16"
"143";"Alt jeg vil er å knuse noe! Nå.";"H";;"Alt eg vil er å knusa noko! No.";"8";"16"
        
